source_rank,tld,source_status,server_adapter,whois_host,server_url,current_parser_class,parser_family,initial_coverage_state,resource_group,implementation_package
500,ruhr,delegated,Standard,whois.nic.ruhr,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.ruhr,package-4
501,pink,delegated,Standard,whois.afilias.net,"",Whois::Parsers::WhoisAfiliasNet,BaseAfilias2,parser_present_unverified,family:BaseAfilias2,package-2
502,nc,delegated,Standard,whois.nc,"",Whois::Parsers::WhoisNc,Base,parser_present_unverified,family:Base,package-4
503,date,delegated,Standard,whois.nic.date,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.date,package-4
504,computer,delegated,Standard,whois.nic.computer,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.computer,package-2
505,institute,delegated,Standard,whois.nic.institute,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.institute,package-2
506,band,delegated,Standard,whois.nic.band,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.band,package-5
507,vin,delegated,Standard,whois.nic.vin,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.vin,package-5
508,hair,delegated,None,"","",Whois::Parsers::Blank,Blank,adapter_none_excluded,row:508,package-2
509,boutique,delegated,Standard,whois.nic.boutique,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.boutique,package-5
510,camera,delegated,Standard,whois.nic.camera,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.camera,package-4
511,adsl,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:511,package-3
512,vet,delegated,Standard,whois.nic.vet,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.vet,package-2
513,dating,delegated,Standard,whois.nic.dating,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.dating,package-5
514,rent,delegated,Standard,whois.nic.rent,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.rent,package-3
515,fitness,delegated,Standard,whois.nic.fitness,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.fitness,package-5
516,fund,delegated,Standard,whois.nic.fund,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.fund,package-1
517,green,delegated,Standard,whois.afilias.net,"",Whois::Parsers::WhoisAfiliasNet,BaseAfilias2,parser_present_unverified,family:BaseAfilias2,package-2
518,supply,delegated,Standard,whois.nic.supply,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.supply,package-1
